title,artist,release,year,position,genre,diameter,image_path,id
Formation,Beyonce,2016,2016,1,pop,100,images/beyonce.jpg,formation2.html
Ultralight Beam,Kanye West,2016,2016,2,hip hop,99,images/kanye.jpg,ultralight.html
Cranes in the Sky,Solange,2016,2016,3,r&b,98,images/solange.jpg,cranes.html
Lazarus,David Bowie,2016,2016,4,rock,97,images/david.jpg,lazarus2.html
Work,Rihanna,2016,2016,5,pop,96,images/rihanna.jpg,work.html
Your Best American Girl,Mitski,2016,2016,6,indie,95,images/mitski.jpg,yourBest.html
Shut Up Kiss ME,Angel Olsen,2016,2016,7,indie,94,images/angel.jpg,shutup.html
BlackStar,David Bowie,2016,2016,8,rock,93,images/david.jpg,blackstar.html
Black Beatles,Rae Sremmurd feat Gucci Mane,2016,2016,9,hip hop,92,images/rae.jpg,blackBeatles.html
Burn the Witch,Radiohead,2016,2016,10,indie,91,images/radiohead.jpg,
You Want It Darker,Leonard Cohen,2016,2016,11,americana,90,images/leonard.jpg,
Nikes,Frank Ocean,2016,2016,12,drum and bass,89,images/frank.jpg,
We the People…,A Tribe Called Quest,2016,2016,13,pop,88,images/a.jpg,
No Problem,Chance the Rapper feat Lil Wayne and 2 Chainz,2016,2016,14,rap,87,images/chance.jpg,
One Dance,Drake,2016,2016,15,hip hop,86,images/drake.jpg,
Drone Bomb Me,Ahohni,2016,2016,16,indie,85,,
Drunk Drivers,Car Seat Headres,2016,2016,17,pop,84,,
Ivy,Frank Ocean,2016,2016,18,pop,83,,
No Women,Whitney Houston,2016,2016,19,pop,82,,
Really Doe,Danny Brown,2016,2016,20,hip hop,81,,
"33 ""God""",Bon Iver,2016,2016,21,indie,80,,
Daydreaming,Radiohead,2016,2016,22,indie,79,,
On Hold,The xx,2016,2016,23,pop,78,,
True Love Waits,Radiohead,2016,2016,24,indie,77,,
Starboy,The Weekend,2016,2016,25,hip hop,76,,
Brccoli,D.R.A.M,2016,2016,26,hip hop,75,,
I need you,Nick Cave and the Bad Seeds,2016,2016,27,indie,74,,
Nights,Frank Ocean,2016,2016,28,pop,73,,
Hold Up,Beyonce,2016,2016,29,hip hop,72,,
Best to you,Blood Orange,2016,2016,30,indie,71,,
Needed me,Rihanna,2016,2016,31,pop,70,,
I have been to the mountain,Kevin Morby,2016,2016,32,indie,69,,
I Can't Give Everything Away,David Bowie,2016,2016,33,rock,68,,
